Categoria,Subcategoria,Producto,Precio,URL Imagen,Nutriscore
,,Salchichon pavo extra Nuestra Alacena bandeja 2 x 75 g,"2,65 €",https://www.dia.es/product_images/274142/274142_ISO_0_ES.jpg?imwidth=176,B
,,Cana de lomo Navidul sobre 40 g,"1,10 €",https://www.dia.es/product_images/134228/134228_ISO_0_ES.jpg?imwidth=176,C
,,Chorizo dulce Palacios bolsa 250 g,"3,49 €",https://www.dia.es/product_images/51728/51728_ISO_0_ES.jpg?imwidth=176,D
,,Longaniza con pavo Elpozo bolsa 230 g,"2,95 €",https://www.dia.es/product_images/42200/42200_ISO_0_ES.jpg?imwidth=176,D
,,Salchichon de Vic Exentis sobre 80 g,"2,25 €",https://www.dia.es/product_images/296643/296643_ISO_0_ES.jpg?imwidth=176,C
,,Petalos de salchichon extra 50% Duroc Boadas sobre 80 g,"2,09 €",https://www.dia.es/product_images/296496/296496_ISO_0_ES.jpg?imwidth=176,A
,,Petalos de lomo embuchado 50% duroc Boadas sobre 80 g,"2,35 €",https://www.dia.es/product_images/296492/296492_ISO_0_ES.jpg?imwidth=176,C
,,Petalos de chorizo extra 50% duroc Boadas sobre 80 g,"2,09 €",https://www.dia.es/product_images/296491/296491_ISO_0_ES.jpg?imwidth=176,A
,,Lomo embuchado ya cortado Espana e hijos sobre 200 g,"3,75 €",https://www.dia.es/product_images/293718/293718_ISO_0_ES.jpg?imwidth=176,C
,,Salchichon extra ya cortado Espana e hijos sobre 200 g,"2,59 €",https://www.dia.es/product_images/293717/293717_ISO_0_ES.jpg?imwidth=176,D
,,Chorizo extra ya cortado Espana e hijos sobre 200 g,"2,59 €",https://www.dia.es/product_images/293714/293714_ISO_0_ES.jpg?imwidth=176,E
,,Chorizo a la pimienta Boadas sobre 100 g,"1,99 €",https://www.dia.es/product_images/290686/290686_ISO_0_ES.jpg?imwidth=176,D
,,Salchichon a la pimienta Sola bandeja 100 g,"1,85 €",https://www.dia.es/product_images/276169/276169_ISO_0_ES.jpg?imwidth=176,D
,,Longaniza imperial Elpozo bolsa 250 g,"2,95 €",https://www.dia.es/product_images/27468/27468_ISO_0_ES.jpg?imwidth=176,C
,,Salchichon iberico Nuestra Alacena bolsa 90 g,"2,30 €",https://www.dia.es/product_images/274187/274187_ISO_0_ES.jpg?imwidth=176,E
,,Lomo de cebo iberico 50% Nuestra Alacena bandeja 80 g,"3,49 €",https://www.dia.es/product_images/274064/274064_ISO_0_ES.jpg?imwidth=176,E
,,Chorizo iberico Nuestra Alacena sobre 90 g,"2,49 €",https://www.dia.es/product_images/274000/274000_ISO_0_ES.jpg?imwidth=176,C
,,Chorizo de pavo extra Nuestra Alacena bandeja 2 x 75 g,"2,59 €",https://www.dia.es/product_images/273994/273994_ISO_0_ES.jpg?imwidth=176,B
,,Chorizo de leon picante Nuestra Alacena bandeja 100 g,"1,99 €",https://www.dia.es/product_images/273985/273985_ISO_0_ES.jpg?imwidth=176,D
,,Chorizo de leon dulce Nuestra Alacena bandeja 100 g,"1,99 €",https://www.dia.es/product_images/273984/273984_ISO_0_ES.jpg?imwidth=176,B
,,Chorizo de leon picante Nuestra Alacena bolsa 320 g,"3,99 €",https://www.dia.es/product_images/273979/273979_ISO_0_ES.jpg?imwidth=176,C
,,Chorizo de leon dulce Nuestra Alacena bolsa 320 g,"3,99 €",https://www.dia.es/product_images/273978/273978_ISO_0_ES.jpg?imwidth=176,E
,,Cabecero de lomo Monells bandeja 2 x 70 g,"2,79 €",https://www.dia.es/product_images/273619/273619_ISO_0_ES.jpg?imwidth=176,D
,,Queso especial pasta en polvo Dia Lactea bolsa 150 g,"1,35 €",https://www.dia.es/product_images/263635/263635_ISO_0_ES.jpg?imwidth=176,A
,,Queso rallado en polvo El caserio bolsa 80 g,"1,40 €",https://www.dia.es/product_images/106432/106432_ISO_0_ES.jpg?imwidth=176,A
,,Queso mezcla 4 quesos rallado Dia Lactea bolsa 200 g,"1,83 €",https://www.dia.es/product_images/50652/50652_ISO_0_ES.jpg?imwidth=176,D
,,Queso mozzarella rallado Dia Lactea bolsa 200 g,"1,54 €",https://www.dia.es/product_images/13096/13096_ISO_0_ES.jpg?imwidth=176,D
,,Queso especial gratinar rallado Dia Lactea bolsa 200 g,"1,35 €",https://www.dia.es/product_images/20423/20423_ISO_0_ES.jpg?imwidth=176,A
,,Queso curado El cencerro 300 g,"3,45 €",https://www.dia.es/product_images/263380/263380_ISO_0_ES.jpg?imwidth=176,D
,,Queso curado cortado El Cencerro 250 g,"2,76 €",https://www.dia.es/product_images/263675/263675_ISO_0_ES.jpg?imwidth=176,D
,,Rulo de queso de cabra Dia Lactea 140 g,"1,75 €",https://www.dia.es/product_images/120966/120966_ISO_0_ES.jpg?imwidth=176,C
,,Queso semicurado El cencerro 300 g,"3,03 €",https://www.dia.es/product_images/263378/263378_ISO_0_ES.jpg?imwidth=176,E
,,Dados de queso especial ensalada Dia Lactea bolsa 100 g,"0,99 €",https://www.dia.es/product_images/290034/290034_ISO_0_ES.jpg?imwidth=176,B
,,Queso tierno El cencerro 300 g,"2,70 €",https://www.dia.es/product_images/263306/263306_ISO_0_ES.jpg?imwidth=176,B
,,Queso de oveja curado El cencerro 250 g,"3,99 €",https://www.dia.es/product_images/290782/290782_ISO_0_ES.jpg?imwidth=176,A
,,Queso grana padano rallado Seleccion Mundial bolsa 100 g,"1,60 €",https://www.dia.es/product_images/182969/182969_ISO_0_ES.jpg?imwidth=176,C
,,Queso gouda rallado Dia Lactea bolsa 200 g,"1,44 €",https://www.dia.es/product_images/292470/292470_ISO_0_ES.jpg?imwidth=176,B
,,Queso emmental rallado Dia Lactea bolsa 200 g,"1,63 €",https://www.dia.es/product_images/16296/16296_ISO_0_ES.jpg?imwidth=176,D
,,Queso tierno El cencerro 1 Kg,"8,05 €",https://www.dia.es/product_images/51981/51981_ISO_0_ES.jpg?imwidth=176,C
,,Queso semicurado cortado El cencerro 250 g,"3,41 €",https://www.dia.es/product_images/263674/263674_ISO_0_ES.jpg?imwidth=176,A
,,Queso tierno cortado El cencerro 250 g,"3,02 €",https://www.dia.es/product_images/263673/263673_ISO_0_ES.jpg?imwidth=176,E
,,Queso mezcla anejo Descarado El cencerro 250 g,"3,55 €",https://www.dia.es/product_images/292040/292040_ISO_0_ES.jpg?imwidth=176,D
,,Queso madurado D.O.P. Arzua-Ulloa Cruceiro 550 g,"4,99 €",https://www.dia.es/product_images/299088/299088_ISO_0_ES.jpg?imwidth=176,A
,,Queso parmigiano reggiano D.O.P. en escamas Seleccion Mundial tarrina 80 g,"1,99 €",https://www.dia.es/product_images/207456/207456_ISO_0_ES.jpg?imwidth=176,A
,,Queso tierno de cabra El cencerro bandeja 550 g,"7,79 €",https://www.dia.es/product_images/63090/63090_ISO_0_ES.jpg?imwidth=176,E
,,Mezcla de 4 quesos El caserio bolsa 120 g,"2,59 €",https://www.dia.es/product_images/35416/35416_ISO_0_ES.jpg?imwidth=176,E
,,Queso semicurado ya cortado Garcia Baquero 225 g,"3,99 €",https://www.dia.es/product_images/301665/301665_ISO_0_ES.jpg?imwidth=176,C
,,Queso mezcla curado Gran capitan 150 g,"3,00 €",https://www.dia.es/product_images/300650/300650_ISO_0_ES.jpg?imwidth=176,A
,,Queso curado tostado mezcla Gran capitan 200 g,"4,89 €",https://www.dia.es/product_images/300649/300649_ISO_0_ES.jpg?imwidth=176,D
,,Queso semicurado Garcia Baquero 180 g,"2,99 €",https://www.dia.es/product_images/300069/300069_ISO_0_ES.jpg?imwidth=176,B
,,Queso de tetilla D.O.P. Cruceiro 550 g,"5,15 €",https://www.dia.es/product_images/299086/299086_ISO_0_ES.jpg?imwidth=176,B
